#,compound,class,known_target(s),common_target_name,InChIKey,SMILES
1,GSK429286A,chemical probe,ROCK1;ROCK2,ROCK1/2,OLIIUAHHAZEXEX-UHFFFAOYSA-N,CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F
2,H-89,chemical probe,PRKACA;PRKACB,PKA,ZKZXNDJNWUTGDK-NSCUHMNNSA-N,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br
3,KU-0063794,chemical probe,MTOR,mTOR,RFSMUFRPPYDYRD-CALCHBBNSA-N,C[C@@H]1CN(C[C@@H](O1)C)C2=NC3=C(C=CC(=N3)C4=CC(=C(C=C4)OC)CO)C(=N2)N5CCOCC5
4,LY294002,chemical probe,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG,PI3K/mTOR,CZQHHVNHHHRRDU-UHFFFAOYSA-N,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
5,PD173074,chemical probe,FGFR1;FGFR2;FGFR3,FGFR1-3,DXCUKNQANPLTEJ-UHFFFAOYSA-N,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C
6,SCH772984,chemical probe,MAPK1;MAPK3,ERK1/2,HDAJDNHIBCDLQF-RUZDIDTESA-N,C1CN(C[C@@H]1C(=O)NC2=CC3=C(C=C2)NN=C3C4=CC=NC=C4)CC(=O)N5CCN(CC5)C6=CC=C(C=C6)C7=NC=CC=N7
7,SP600125,chemical probe,MAPK10;MAPK8;MAPK9,JNK1/2/3,ACPOUJIDANTYHO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O
8,SU11274,chemical probe,MET,c-MET,FPYJSJDOHRDAMT-KQWNVCNZSA-N,CC1=C(NC(=C1C(=O)N2CCN(CC2)C)C)/C=C\3/C4=C(C=CC(=C4)S(=O)(=O)N(C)C5=CC(=CC=C5)Cl)NC3=O
9,Torin 2,chemical probe,MTOR,mTOR,GUXXEUUYCAYESJ-UHFFFAOYSA-N,C1=CC(=CC(=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CN=C(C=C5)N)C(F)(F)F
10,U0126,chemical probe,MAP2K1;MAP2K2,MEK1/2,DVEXZJFMOKTQEZ-JYFOCSDGSA-N,C1=CC=C(C(=C1)N)S/C(=C(/C(=C(/SC2=CC=CC=C2N)\N)/C#N)\C#N)/N
11,dorsomorphin,chemical probe,PRKAA1;PRKAA2,AMPK (compound C),XHBVYDAKJHETMP-UHFFFAOYSA-N,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3
12,acalabrutinib,clinical inhibitor,BTK,,WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5
13,asciminib,clinical inhibitor,ABL1,,VOVZXURTCKPRDQ-CQSZACIVSA-N,C1CN(C[C@@H]1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4
14,brigatinib,clinical inhibitor,ALK,,AILRADAXUVEEIR-UHFFFAOYSA-N,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC
15,erdafitinib,clinical inhibitor,FGFR1;FGFR2;FGFR3;FGFR4,,OLAHOMJCDNXHFI-UHFFFAOYSA-N,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC
16,infigratinib,clinical inhibitor,FGFR1;FGFR2;FGFR3;FGFR4,,QADPYRIHXKWUSV-UHFFFAOYSA-N,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl
17,lorlatinib,clinical inhibitor,ALK;ROS1,,IIXWYSCJSQVBQM-LLVKDONJSA-N,C[C@@H]1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C
18,mobocertinib,clinical inhibitor,EGFR,,AZSRSNUQCUDCGG-UHFFFAOYSA-N,CC(C)OC(=O)C1=CN=C(N=C1C2=CN(C3=CC=CC=C32)C)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC
19,nazartinib,clinical inhibitor,EGFR,,IOMMMLWIABWRKL-WUTDNEBXSA-N,CC1=NC=CC(=C1)C(=O)NC2=NC3=C(N2[C@@H]4CCCCN(C4)C(=O)/C=C/CN(C)C)C(=CC=C3)Cl
20,nintedanib,clinical inhibitor,FGFR1;FGFR2;FGFR3;FLT1;FLT4;KDR;PDGFRA;PDGFRB,,CPMDPSXJELVGJG-UHFFFAOYSA-N,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O
21,olmutinib,clinical inhibitor,EGFR,,FDMQDKQUTRLUBU-UHFFFAOYSA-N,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC4=C(C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)SC=C4
22,pemigatinib,clinical inhibitor,FGFR1;FGFR2;FGFR3,,HCDMJFOHIXMBOV-UHFFFAOYSA-N,CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5
23,pirtobrutinib,clinical inhibitor,BTK,,FWZAWAUZXYCBKZ-NSHDSACASA-N,C[C@@H](C(F)(F)F)N1C(=C(C(=N1)C2=CC=C(C=C2)CNC(=O)C3=C(C=CC(=C3)F)OC)C(=O)N)N
24,radotinib,clinical inhibitor,ABL1,,DUPWHXBITIZIKZ-UHFFFAOYSA-N,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=NC=CN=C5
25,repotrectinib,clinical inhibitor,ALK;NTRK1;NTRK2;NTRK3;ROS1,,FIKPXCOQUIZNHB-WDEREUQCSA-N,C[C@H]1CNC(=O)C2=C3N=C(C=CN3N=C2)N[C@@H](C4=C(O1)C=CC(=C4)F)C
26,selpercatinib,clinical inhibitor,RET,,XIIOFHFUYBLOLW-UHFFFAOYSA-N,CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O
27,sitravatinib,clinical inhibitor,AXL;FLT1;FLT4;KDR;MET,,WLAVZAAODLTUSW-UHFFFAOYSA-N,COCCNCC1=CN=C(C=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F
28,tirabrutinib,clinical inhibitor,BTK,,SEJLPXCPMNSRAM-GOSISDBHSA-N,CC#CC(=O)N1CC[C@H](C1)N2C3=NC=NC(=C3N(C2=O)C4=CC=C(C=C4)OC5=CC=CC=C5)N
29,upadacitinib,clinical inhibitor,JAK1,,WYQFJHHDOKWSHR-MNOVXSKESA-N,CC[C@@H]1CN(C[C@@H]1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F
