SMILES,UMAP_1,UMAP_2,Cluster_ID,S_Score,Sel_Window,Measured_Count,Cluster_Fit,Confidence
Brc1ccc2[nH]nc(-c3ccccc3)c2c1,2.7099535,2.734044,23,0.0610687022900763,1.5999998139434195,131,0.3584905660377358,Moderate
Brc1ccc2c(c1)-c1[nH]ncc1C2,2.4261222,2.877832,23,0.0075757575757575,1.39999741696269,132,0.26666666666666666,Low
Brc1cnc2[nH]cc(-c3ccccc3)c2c1,2.7387187,4.192668,26,0.3115942028985507,2.300014562647405,138,0.5434782608695652,High
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,-1.8728857,2.7595758,24,0.0225225225225225,3.2730012720637376,222,0.671875,High
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,-1.8640323,2.78641,24,0.0707070707070707,4.164309428507574,396,0.671875,High
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,-1.932693,2.7542908,24,0.0133928571428571,2.1248744062150138,224,0.55,High
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,0.064810194,3.0493824,29,0.1155778894472361,4.0,199,0.26595744680851063,Low
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,-1.764844,2.4824436,24,0.0390243902439024,4.211381796198534,205,0.6097560975609756,High
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-0.6610366,-0.7847804,1,0.1233480176211453,4.753542239048553,227,0.6266666666666667,High
C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-0.7951708,-0.6656364,1,0.056338028169014,3.8750612633917,213,0.6266666666666667,High
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,-0.8731233,3.9145637,-1,0.02803738317757,4.154901959985743,214,,Outlier
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,-1.8610314,2.5598693,24,0.0188679245283018,3.904057236880544,212,0.5617977528089888,High
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,-1.6828477,2.5531108,24,0.0706806282722513,4.178273661756904,382,0.6973684210526315,High
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,-1.1500078,4.2974415,34,0.0495049504950495,2.8143634230380883,202,0.44680851063829785,High
C=CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)C(=O)CC[C@@H]12)CC=C,5.310293,0.25065583,2,0.0100502512562814,3.6320232147054057,199,0.1504424778761062,Low
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,-0.84730744,4.1912513,35,0.0493827160493827,3.5795289598784503,243,0.37362637362637363,Moderate
CC(=O)N(c1ccncc1)c1c(NC(C)C(C)(C)C)c(=O)c1=O,0.52459425,5.2028823,28,0.0955882352941176,2.0000076363593218,136,0.5319148936170213,High
CC(=O)N1CCC(Nc2nccc(-c3c(-c4ccc(F)cc4)nc4occn34)n2)CC1,1.0766938,7.304664,4,0.0902255639097744,2.700015251394028,133,0.7230769230769231,High
CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1,-0.5332797,-0.825443,1,0.2446043165467626,2.700007318532885,139,0.42391304347826086,High
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,-0.80057114,4.2882166,35,0.3468634686346863,3.62075126030443,271,0.3409090909090909,Moderate
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,1.654496,4.3838987,31,0.1428571428571428,1.4000149335675929,133,0.6956521739130435,High
CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,0.9435042,1.4379305,18,0.0373831775700934,1.1953964142510678,107,0.56,High
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,-3.466785,2.5768013,0,0.0088105726872246,3.8287886595888967,227,0.37209302325581395,Moderate
CC(=O)Nc1cccc(CNc2c(Nc3ccc4[nH]ncc4c3)c(=O)c2=O)c1,0.7438122,4.735453,-1,0.2313432835820895,2.599988433794872,134,,Outlier
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,-1.0990856,4.0807962,34,0.0408163265306122,3.435728569561437,245,0.6052631578947368,High
CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,2.3152452,3.8592885,30,0.1089743589743589,1.5000003213429354,156,0.6326530612244898,High
CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,-1.1043705,3.4886403,-1,0.535,3.6146115393100144,200,,Outlier
CC(C)(C(N)=O)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,1.8542532,-1.1814473,7,0.3951612903225806,3.199999125196797,124,0.7971014492753623,High
CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO,0.88851684,3.0171807,32,0.0350877192982456,3.720818516843021,114,0.696969696969697,High
